emotion ,Song,songName,artist,coverImage,duration
soothing,spotify:track:5rW3anmLNKDA81nVJvW50H,Cheaper Than Therapy,Rogue Wave,https://i.scdn.co/image/ab67616d0000b273d47123e510c8a5960e827fe2,5:30
soothing,spotify:track:4L3WIjpkfwtj54O3v0d2mv,Certain Things You Ought to Know,Destroyer,https://i.scdn.co/image/ab67616d0000b273bc3b8b89cb666a140dcc1d84,4:25
soothing,spotify:track:1uOpGeKg6ikCb9YM2Hgbpb,Folk Song,The Sundays,https://i.scdn.co/image/ab67616d0000b2737455f0529e9a0cc371da902e,3:03
soothing,spotify:track:33NdOMbe3iUvfsnvONHODq,Beautiful Change,The Innocence Mission,https://i.scdn.co/image/ab67616d0000b2735e8087cd4be788568ab905a6,2:57
soothing,spotify:track:0rWl2DZHNx0NTrt4qg9cWM,Sarah's Prelude,The Clientele,https://i.scdn.co/image/ab67616d0000b273da753bffcf112585012d1266,1:47
soothing,spotify:track:1KpuWb0uPEzSM2PIh5JIwI,The Lucky One,Au Revoir Simone,https://i.scdn.co/image/ab67616d0000b273d38f40bf91c8b1463adc8d85,4:32
soothing,spotify:track:3vn3tYZAJ3h95G9JSsKJv9,Beautiful Calm Driving,Sia,https://i.scdn.co/image/ab67616d0000b2732e6476347796809a8b4de444,5:02
soothing,spotify:track:4wZahoQpi02ogLEBy0Psxx,Fog (Again) [Live],Radiohead,https://i.scdn.co/image/ab67616d0000b273e8fc95b39b77b5b1bf0369da,2:18
soothing,spotify:track:5n0s9Ec2un5JNq8YnKnbgO,Hideaway,"Karen O, The Kids",https://i.scdn.co/image/ab67616d0000b273b2aa6535e3a2cb1b197c3e05,5:10
peaceful,spotify:track:0CC61Vu9hpb6YMxkrC3iM4,Moonlight,Sophie Zelmani,https://i.scdn.co/image/ab67616d0000b2736eabf932c470c8aaed6c571c,2:37
peaceful,spotify:track:4fWK9ph7UD7EMC7CGBCl7g,A51,Junkie XL,https://i.scdn.co/image/ab67616d0000b273baa47b4ac809ca895d7ce121,4:06
peaceful,spotify:track:3DRWl5lB488JPSz1ao4lKG,Redemption,Garry Schyman,https://i.scdn.co/image/ab67616d0000b2737b7726a987663fe59577e3d5,1:24
peaceful,spotify:track:5KBVqZDqF5WkHcK7auacGC,Mall Rat,Jerry Martin,https://i.scdn.co/image/ab67616d0000b27335b061ddb14b44a1a8fdffad,2:44
peaceful,spotify:track:4t95aCT7EdrLlU7scLiU2R,The Emerald Way,2002,https://i.scdn.co/image/ab67616d0000b273e3e8b28d03b943c6a6f6c43d,6:30
peaceful,spotify:track:2ZYiNKByHsgkqFlkacQHgt,Bend,Dear Reader,https://i.scdn.co/image/ab67616d0000b2736828d55c4e44a4fff4815ef8,3:37
peaceful,spotify:track:73u6RoxTtpDya2Dx2lPahV,Awakening,Liquid Mind,https://i.scdn.co/image/ab67616d0000b273df78b77e4c01092ac71419f8,12:11
peaceful,spotify:track:3pdCEyfI7Q47JiTidTq7kl,Grace - Live,"Secret Garden, Ole Edvard Antonsen",https://i.scdn.co/image/ab67616d0000b27329840261ee1cad5a0fbc56fc,4:38
peaceful,spotify:track:6uEp3vqWjmHr4AUcNq7VnT,Pink Emerson Radio,Kathleen Edwards,https://i.scdn.co/image/ab67616d0000b273376963de81e7b48a59dd56ee,4:25
peaceful,spotify:track:30CcGP1zGUqJQy3tYbb7RW,Song From Under The Arches,Gravenhurst,https://i.scdn.co/image/ab67616d0000b273d5c42f9572617b1a3162a2b3,10:21
soft,spotify:track:03eYqvI4YEIyBgOzvcjO4E,So Long to the Holidays,Ugly Casanova,https://i.scdn.co/image/ab67616d0000b273f5aabc4fc7cc90208f14b47f,5:56
soft,spotify:track:00ceVqQBhF9Angv9jSkNtW,Apple Tree,Erykah Badu,https://i.scdn.co/image/ab67616d0000b273e0ea9746f6d9b5132f2f4e2a,4:04
soft,spotify:track:7i29PT7BrMOnjm0GaMpdIU,Smile,Smith Westerns,https://i.scdn.co/image/ab67616d0000b273e87ebb503df38bc0781ed51e,4:10
soft,spotify:track:12DQLP0EURlKcwguEJM5oY,The Questions,"Common, Mos Def",https://i.scdn.co/image/ab67616d0000b273e42803c3943b6b0b5481caeb,4:09
soft,spotify:track:3d8PDk3B4am5c6TsUCznUW,Shut It Down,"Drake, The-Dream",https://i.scdn.co/image/ab67616d0000b27311b21e8b868800918d21bb77,6:59
soft,spotify:track:3X3XuCPTC95ARm9SguWsIa,Sweet Thing,Mary J. Blige,https://i.scdn.co/image/ab67616d0000b27321110eef2bacdfe409af6903,3:45
soft,spotify:track:6yl6TMw87Nq0mWBQtw9muQ,Whatever You Want,Tony! Toni! Toné!,https://i.scdn.co/image/ab67616d0000b2737d0fa81881e9313e77463eaa,4:50
soft,spotify:track:5AboZph40bribOHRIeutb3,Recollections of the wraith,Shabazz Palaces,https://i.scdn.co/image/ab67616d0000b27383c35b7cc2c184c2480b8d8a,3:35
soft,spotify:track:15KhTtSEw7jdk2MFU0KZhY,Ride Or Die,JAY-Z,https://i.scdn.co/image/ab67616d0000b2739700390e9c33c62cfcd915ce,4:48
soft,spotify:track:10sfwOcYWSZAMhzoIcdGFr,Tubefed,Halou,https://i.scdn.co/image/ab67616d0000b27317d111a1abd9cfe0ca747cd8,3:11
calm,spotify:track:2kC5biNYU0PVFp1WbpEEUG,Walking Away,Lifehouse,https://i.scdn.co/image/ab67616d0000b273a35daeab41d7d6da14cc809c,4:46
calm,spotify:track:3e2dTtSpfuDA8iXnRCxCov,Pretty Bird,Jenny Lewis,https://i.scdn.co/image/ab67616d0000b273e649a6f583f2dd4614769719,3:46
calm,spotify:track:5wfgLASWmbbLjNkbXsbs8t,In The Twilight,Phaeleh,https://i.scdn.co/image/ab67616d0000b27316122b7e9e616b47d0418587,6:26
calm,spotify:track:7KyUS1fkcA491aobPDCcq1,Moonlight Serenade - 2008 Remastered,Frank Sinatra,https://i.scdn.co/image/ab67616d0000b273b81d66d1416afa139d12767b,3:28
calm,spotify:track:7tPALDqMgfKgCrUcPwGnXA,Big Friday,Bonnie Prince Billy,https://i.scdn.co/image/ab67616d0000b273875d81df03d539f17954c205,2:43
calm,spotify:track:5L6krMHI5k5d6w7NXfrHqm,So This Is Goodbye (Pink Ganter Remix),William Fitzsimmons,https://i.scdn.co/image/ab67616d0000b2737eb26b38b9d1194f5b1a7866,5:03
calm,spotify:track:1J0mCmH4RF4dVcvkLV8h37,Sleepsong,"Secret Garden, Fionnuala Gill",https://i.scdn.co/image/ab67616d0000b273861471d87ec556fb186cd2c3,4:52
calm,spotify:track:4uE5lqV5vyJ88UIVqbEFhW,Teenage Spaceship,Smog,https://i.scdn.co/image/ab67616d0000b273ebce314abaac49d9acd15745,3:58
calm,spotify:track:2ZSLlQiP6kPJmOhwFUiSFp,Two Weeks,Strapping Young Lad,https://i.scdn.co/image/ab67616d0000b273b28b618acf8097d9de9c4dbc,3:28
calm,spotify:track:3GcCAyJ99VMzHiHnVqtTDf,Voices - Acoustic,Godsmack,https://i.scdn.co/image/ab67616d0000b273a719b445ec29b3bc0b47e556,3:44
